Name	Set	Imagefile	Type	Class	Race	Skills	HomeSite	Mind	Influence	GI	Prowess	Body	Strikes	Playable	MP	SP	Magic	Specific	Corruption	Region	SitePath	Draw	OpponentDraw	Rarity	Text
Ambusher *	LidlessEye	Ambusher2	Hazard	Creature	Men						10	-	2	{f}{b}	1									CB+CS1	Men. Two strikes. Attacker chooses defending characters.
Arouse Defenders	LidlessEye	ArouseDefenders	Hazard	Short-event																				CB+CS1	Playable on a Free-hold [{F}] or Border-hold [{B}]. This turn, the prowess of one automatic-attack (your choice) at target site is increased by 2 and cannot be canceled. Cannot be duplicated on a given site.
Arouse Denizens *	LidlessEye	ArouseDenizens2	Hazard	Short-event																				CB+CS1	Playable on a Ruins & Lairs [{R}]. This turn, the prowess of one automatic-attack (your choice) at target site is increased by 3. Cannot be duplicated on a given site.
Arthadan Rangers	LidlessEye	ArthadanRangers	Hazard	Creature	Dunedain						10	6	1/each		2*									U	Dunedain. Each character in the company faces one strike (detainment against covert and hero companies). May be played keyed to Arthedain, Rhudaur, Cardolan, Hollin, and The Shire; and may also be played at sites in these regions. May not be played a
Awaken Defenders	LidlessEye	AwakenDefenders	Hazard	Long-event																				CB+CS1	The number of strikes for each automatic-attack at a Free-hold [{F}] or Border-hold [{B}] is doubled. Additionally, each detainment automatic-attack at a Free-hold [{F}] or Border-hold [{B}] becomes a normal automatic-attack. Cannot be duplicated.
Awaken Denizens *	LidlessEye	AwakenDenizens2	Hazard	Long-event																				CB+CS1	The number of strikes for each automatic-attack at a Ruins & Lairs [{R}] is doubled. Cannot be duplicated.
Barrow-wight *	LidlessEye	Barrowwight2	Hazard	Creature	Undead						12	-	1	{s}{d}{S}{D}	1									U	Undead. One strike. After the attack, each character wounded by Barrow-wight makes a corruption check modified by -2. {cyan} UEP: Barrow-wight is playable at Barrow-downs.
Beorning Toll	LidlessEye	BeorningToll	Hazard	Creature	Men						11	6	1/each		2*									R	Men. Each character in the company faces one strike (detainment against covert and hero companies). May be played keyed to Anduin Vales, Wold & Foothills, High Pass, and Redhorn Gate; and may also be played at non-Haven sites in these regions. May no
Brigands *	LidlessEye	Brigands2	Hazard	Creature	Men						8	-	2	{b}{w}	1									CB+CS1	Men. Two strikes. If any strike of Brigands wounds a character, the company must immediately discard one item (of defender's choice).
Call of Home *	LidlessEye	CallofHome2	Hazard	Short-event																				CB+CS1	Playable on a non-Ringwraith, non-Wizard character not bearing The One Ring. The character makes a roll (draws a #). The character returns to his player's hand if the result plus his player's unused general influence is less than 10. Any one item hel
Cave Worm *	LidlessEye	CaveWorm2	Hazard	Creature	Drake						16	-	1		1									CB+CS1	Drake. One strike. May be played keyed to Redhorn Gate, High Pass, Gap of Isen, Angmar, Gundabad, Grey Mountain Narrows, Withered Heath, Númeriador, Iron Hills, Dragon Gap, or any mountain region {m}. {green} DCE: May also be played keyed to Narthalf, Azjan, Uzek Jan, Dragon Gap.
Cave-drake *	LidlessEye	Cavedrake2	Hazard	Creature	Dragon						10	-	2	{w}{w}{R}	1									CB+CS1	Dragon. Two strikes. Attacker chooses defending characters.
Chill Them with Fear	LidlessEye	ChillThemwithFear	Hazard	Long-event																				R	All Elf, Dwarf, Dunadan, and Hobbit attacks receive +2 prowess and +2 strikes (+1 prowess and +1 strike if Doors of Night is in play). Cannot be duplicated.
Corpse-candle *	LidlessEye	Corpsecandle2	Hazard	Creature	Undead						7	-	1	{w}{s}{d}{S}{D}	1									CB+CS1	Undead. One strike. If this attack is not canceled, every character in the company makes a corruption check before defending characters are selected.
Covetous Thoughts	LidlessEye	CovetousThoughts	Hazard	Permanent-event															1					U	Corruption. Playable only on a minion. At the end of each of his turns, target minion makes a corruption check for each item his company bears that he does not bear. For each check, modify the roll by subtracting the corruption of that item. During h
Darkness Under Tree	LidlessEye	DarknessUnderTree	Hazard	Short-event																				R	Playable on an untapped Orc, Troll, or Man character if Doors of Night is in play. Tap the character.
Despair of the Heart *	LidlessEye	DespairoftheHeart2	Hazard	Permanent-event															2					CB+CS1	Corruption. Playable on a non-Hobbit, non-Wizard, non-Ringwraith character. Target character receives 2 corruption points and makes a corruption check each time a character in his company becomes wounded. During his organization phase, the character 
Dire Wolves *	LidlessEye	DireWolves2	Hazard	Creature	Wolves						8	-	4	{w}{w}{s}	1									CB+CS2	Wolves. Four strikes.
Doors of Night *	LidlessEye	DoorsofNight2	Hazard	Permanent-event																				CB+CS1	Environment. When Doors of Night is played, and all resource environment cards in play are immediately discarded, and all resource environment effects are cancelled. Cannot be duplicated.
Elf-lord Revealed in Wrath	LidlessEye	ElflordRevealedinWrath	Hazard	Creature	Elves						15	9	1	{w}{w}	3*									R	Elf. One strike (detainment against hero companies). +4 prowess versus Ringwraiths. If Doors of Night is not in play, may also be played keyed to Shadow-lands [{s}]. {cyan} UEP: Elf. One strike (detainment against hero companies). +4 prowess versus R
Elves upon Errantry	LidlessEye	ElvesuponErrantry	Hazard	Creature	Elves						9	-	4	{w}{w}{b}{f}	1*									CB+CS2	Elves. Four strikes (playable only against minion companies).
Ent in Search of the Entwives	LidlessEye	EntinSearchoftheEntwives	Hazard	Creature	Awakened Plant						14	8	1	{w}{w}{b}{f}	1*									U	Awakened Plant. One strike (detainment against covert and hero companies). If Doors of Night is not in play, may also be played keyed to Shadow-lands [{s}].
Fell Winter *	LidlessEye	FellWinter2	Hazard	Long-event																				CB+CS1	Environment. Each Border-hold [{B}] receives an additional automatic-attack: Wolves - 3 strikes with 7 prowess. Additionally, if Doors of Night is in play, treat all Free-domains [{f}] as Border-lands [{b}] and all Border-lands [{b}] as Wildernesses 
Foolish Words *	LidlessEye	FoolishWords2	Hazard	Permanent-event																				CB+CS2	Playable on any character. Any riddling roll, offering attempt, or influence attempt by target character is modified by -4. If placed on-guard, it may be revealed and played when a character in the company declares such an attempt. During his organiz
Ghosts *	LidlessEye	Ghosts2	Hazard	Creature	Undead						9	-	3	{s}{d}{S}{D}	1									CB+CS1	Undead. Three strikes. After attack, each character wounded by Ghosts makes a corruption check modified by -1.
Ghouls *	LidlessEye	Ghouls2	Hazard	Creature	Undead						7	-	5	{s}{d}{S}{D}	1									CB+CS2	Undead. Five strikes.
Giant *	LidlessEye	Giant2	Hazard	Creature	Giants						13	-	1	{w}{w}	1									CB+CS1	Giant. One strike.
Giant Spiders *	LidlessEye	GiantSpiders2	Hazard	Creature	Spiders						10	-	2	{w}{w}	1									CB+CS2	Spiders. Two strikes. If the body check for a non-Wizard, non-Ringwraith character wounded by Giant Spiders equals his body, the character is discarded. May also be played keyed to Heart of Mirkwood, Southern Mirkwood, Western Mirkwood, and Woodland 
Gondorian Rangers	LidlessEye	GondorianRangers	Hazard	Creature	Dunedain						9	6	1/each		2*									CB+CS2	Dunedain. Each character in the company faces one strike (detainment against covert and hero companies). May be played keyed to Ithilien, Dagorlad, Harondor, Mouths of the Anduin, and Brown Lands; and may also be played at sites in these regions. May
Greed *	LidlessEye	Greed2	Hazard	Short-event																				CB+CS2	Playable on a site. Until the end of the turn, each non-Hobbit, non-Wizard, non-Ringwraith character at the site must make a corruption check each time an item is played at the site. The character playing an item need not make a corruption check. Whe
Heedless Revelry	LidlessEye	HeedlessRevelry	Hazard	Short-event																				R	Playable on a non-Ringwraith company that is not moving. Make a roll (or draw a #) for each untapped non-Wizard character in the company; modify this roll by -2 for hero characters. If the result is greater than the character's mind, the character be
Hobgoblins *	LidlessEye	Hobgoblins2	Hazard	Creature	Orcs						10	-	2	{w}{w}	1									CB+CS1	Orcs. Two strikes.
Horse-lords	LidlessEye	Horselords	Hazard	Creature	Men						10	6	1/each		2*									CB+CS1	Men. Each character in the company faces one strike (detainment against covert and hero companies). May be played keyed to Rohan, Wold & Foothills, Gap of Isen, and Anorien; and may also be played at non-Haven sites in these regions. May not be playe
Huorn *	LidlessEye	Huorn2	Hazard	Creature	Awakened Plant						10	-	1	{w}	1									CB+CS1	Awakened Plant. One strike. May also be played at Druadan Forest, Old Forest, and Wellinghall. May also be played keyed to Heart of Mirkwood, Southern Mirkwood, Western Mirkwood, and Woodland Realm; and may also be played at Ruins & Lairs [{R}] and S
Incite Defenders	LidlessEye	InciteDefenders	Hazard	Short-event																				CB+CS1	Playable on a Border-hold [{B}] or Free-hold [{F}]. An additional automatic-attack is created at the site until the end of the turn. This is an exact duplicate (including all existing and eventual modifications to prowess, etc.) of an existing automa
Incite Denizens *	LidlessEye	InciteDenizens2	Hazard	Short-event																				CB+CS1	Playable on a Ruins & Lairs [{R}]. An additional automatic-attack is created at the site until the end of the turn. This is an exact duplicate (including all existing and eventual modifications to prowess, etc.) of an existing automatic-attack at the
Land-drake *	LidlessEye	Landdrake2	Hazard	Creature	Drake						8	-	1	{w}{R}	1									CB+CS1	Drake. One strike. Attacker chooses defending characters.
Landroval	LidlessEye	Landroval	Hazard	Creature	Animals						12	6	2	{w}{w}{b}{s}	2*									R	Unique. Animal. Two strikes (playable only against an overt minion company). Attacker chooses defending characters.
Lawless Men	LidlessEye	LawlessMen	Hazard	Creature	Men						9	-	2	{b}{w}{s}	1									CB+CS2	Men. Two strikes.
Lesser Spiders *	LidlessEye	LesserSpiders2	Hazard	Creature	Spiders						7	-	4	{w}{s}{R}	1									CB+CS2	Spiders. Four strikes.
Long Winter *	LidlessEye	LongWinter2	Hazard	Long-event																				CB+CS1	Environment. Each moving company that has at least two Wildernesses [{w}] in its site path must return to its site of origin unless it contains a ranger. Additionally, if Doors of Night is in play, each non-Darkhaven site in play with at least two Wi
Lost in Border-lands *	LidlessEye	LostinBorderlands2	Hazard	Short-event																				CB+CS1	Playable on a moving company. Its hazard limit increases by one for every Borlder-land [{b}] in its site path.
Lost in Free-domains *	LidlessEye	LostinFreedomains2	Hazard	Short-event																				CB+CS1	Playable on a moving company. The company must do nothing during its site phase if it has a Free-domain [{f}] in its site path.
Lost in Shadow-lands *	LidlessEye	LostinShadowlands2	Hazard	Short-event																				CB+CS1	Playable on a moving company. Its hazard limit increases by one for every Shadow-land [{s}] in its site path.
Lost in the Wilderness *	LidlessEye	LostintheWilderness2	Hazard	Short-event																				CB+CS1	Playable on a moving company. Its hazard limit increases by one for every Wilderness [{w}] in its site path.
Lure of Expedience *	LidlessEye	LureofExpedience2	Hazard	Permanent-event															2					CB+CS1	Corruption. Playable on a non-Ringwraith, non-Wizard, non-Hobbit character. Target character receives 2 corruption points and makes a corruption check each time a  character in his company gains an item (including a ring special item). During his org
Lure of Nature *	LidlessEye	LureofNature2	Hazard	Permanent-event															2					CB+CS1	Corruption. Playable on a non-Hobbit, non-Dwarf, non-Orc, non-Ringwraith character. Target character receives 2 corruption points and makes a corruption check at the end of his movement/hazard phase for each Wilderness [{w}] in his company's site pat
Lure of the Senses *	LidlessEye	LureoftheSenses2	Hazard	Permanent-event															2					CB+CS1	Corruption. Playable on a non-Ringwraith character. Target character receives 2 corruption points and makes a corruption check at the end of his untap phase if at a  Darkhaven. During his organization phase, the character may tap to attempt to remove
Marsh-drake *	LidlessEye	Marshdrake2	Hazard	Creature	Drake						11	-	2	{c}{s}	1									CB+CS1	Drake. Two strikes.
Minions Stir *	LidlessEye	MinionsStir2	Hazard	Long-event																				U	The number of strikes and prowess of each Orc and Troll attack are each increased by one (by two for Orc attacks if Doors of Night is in play). Cannot be duplicated.
Muster Disperses *	LidlessEye	MusterDisperses2	Hazard	Short-event																				CB+CS1	Playable on a faction. The faction's player makes a roll (draws a #), and discards the faction if the result plus his unused general influence is less than 11.
News of Doom	LidlessEye	NewsofDoom	Hazard	Short-event																				R	Unique. Each player makes a roll (draws a #) for each faction he has in play. Discard any faction if its result is 2 or 3, or if its result plus that player's unused general influence is less than 10. Remove News of Doom from the game.
Nothing to Eat or Drink	LidlessEye	NothingtoEatorDrink	Hazard	Permanent-event																				CB+CS1	Playable on a minion company at or moving to a Free-hold [{F}] or Border-hold [{B}], or playable on a hero company at or moving to a Shadow-hold [{S}] or Dark-hold [{D}]. The prowess and body of each character in the company is modified by -1. Discar
Orc-raiders *	LidlessEye	Orcraiders2	Hazard	Creature	Orcs						6	-	4	{b}{w}{R}	1									CB+CS1	Orcs. Four strikes.
Orc-warband *	LidlessEye	Orcwarband2	Hazard	Creature	Orcs						4	-	5	{w}{s}{d}{R}{S}{D}	1									CB+CS1	Orcs. Five strikes. If played on a company that has already faced an Orc attack this turn, Orc-warband receives +3 prowess.
Orc-watch *	LidlessEye	Orcwatch2	Hazard	Creature	Orcs						9	-	3	{s}{d}{S}{D}	1									CB+CS1	Orcs. Three strikes.
